subject_id,baseline,shift,mode
1,-1.6964376473112872,12.976501951022556,pos
10,-9.88598937086749,14.621604062896516,pos
11,-8.18037440190587,9.3755438871463,pos
12,-6.727637074173641,12.794488442913597,pos
13,-6.708971274907199,14.396000217781806,pos
14,-7.06667569939718,8.301184228973717,pos
15,-9.460497185826052,17.844659076660932,pos
16,-7.734581119620806,15.36915346067626,pos
17,-8.123602667270887,6.898761337606942,pos
18,-8.91150434620479,20.24802353261971,pos
19,-8.22724469152654,12.331914839495786,pos
2,-7.421062413204285,24.006729607643763,pos
20,-6.642495355123542,15.255966023328916,pos
21,-3.4274206732924033,8.919147313402329,pos
22,-6.822259418353175,17.595565303163585,pos
23,4.0420347747505225,10.454638605898236,pos
24,-6.199806017885718,6.0269177111044145,pos
25,-7.085502196110566,2.9236330803067156,pos
26,-11.49020910942971,8.300095267354086,pos
27,-5.745721789515311,8.811701687247892,pos
28,-5.237930267669771,3.9894094965164455,pos
29,-5.616246218758935,7.469772442778284,pos
3,-6.410380965500128,16.601073083159246,pos
30,-7.543880352074861,10.669125152929134,pos
31,5.383482562955665,-1.2429389951966108,pos
32,-5.649720848402991,10.231011726123638,pos
33,-5.853281117067147,18.026317511073593,pos
4,-6.911575323415581,6.417441968561378,pos
5,-3.779154473483741,8.77495635877686,pos
6,2.2933254534754943,3.556883776411034,pos
7,-2.0935157206542594,13.408469189630772,pos
8,-1.3498708612936092,-2.4258423349405813,pos
9,-2.6031439840507664,14.847790573165886,pos
